Chr : 16 || GC : 1000 || CM : 70 is a Match
Chr : 17 || GC : 524 || CM : 56 is a Match
Chr : 1 || GC : 525 || CM : 265 is a Match
Chr : 7 || GC : 525 || CM : 175 is a Match
Chr : 20 || GC : 526 || CM : 101 is a Match
Chr : 10 || GC : 527 || CM : 162 is a Match
Chr : 22 || GC : 528 || CM : 9 is a Match
Chr : 17 || GC : 529 || CM : 39 is a Match
Chr : 19 || GC : 529 || CM : 87 is a Match
Chr : 1 || GC : 529 || CM : 276 is a Match
Chr : 19 || GC : 530 || CM : 52 is a Match
Chr : 17 || GC : 531 || CM : 105 is a Match
Chr : 20 || GC : 531 || CM : 102 is a Match
Chr : 7 || GC : 531 || CM : 167 is a Match
Chr : 18 || GC : 532 || CM : 120 is a Match
Chr : 18 || GC : 533 || CM : 6 is a Match
Chr : 16 || GC : 534 || CM : 125 is a Match
Chr : 18 || GC : 534 || CM : 19 is a Match
Chr : 18 || GC : 534 || CM : 7 is a Match
Chr : 21 || GC : 535 || CM : 56 is a Match
Chr : 4 || GC : 535 || CM : 12 is a Match
Chr : 15 || GC : 536 || CM : 102 is a Match
Chr : 1 || GC : 537 || CM : 275 is a Match
Chr : 18 || GC : 539 || CM : 27 is a Match
Chr : 1 || GC : 539 || CM : 274 is a Match
Chr : 10 || GC : 540 || CM : 160 is a Match
Chr : 18 || GC : 541 || CM : 8 is a Match
Chr : 3 || GC : 541 || CM : 197 is a Match
Chr : 17 || GC : 542 || CM : 2 is a Match
Chr : 13 || GC : 544 || CM : 121 is a Match
Chr : 19 || GC : 544 || CM : 80 is a Match
Chr : 1 || GC : 545 || CM : 4 is a Match
Chr : 15 || GC : 547 || CM : 105 is a Match
Chr : 21 || GC : 547 || CM : 1 is a Match
Chr : 13 || GC : 548 || CM : 126 is a Match
Chr : 7 || GC : 548 || CM : 169 is a Match
Chr : 18 || GC : 549 || CM : 5 is a Match
Chr : 20 || GC : 549 || CM : 99 is a Match
Chr : 3 || GC : 549 || CM : 215 is a Match
Chr : 16 || GC : 550 || CM : 123 is a Match
Chr : 19 || GC : 550 || CM : 88 is a Match
Chr : 9 || GC : 550 || CM : 161 is a Match
Chr : 10 || GC : 551 || CM : 7 is a Match
Chr : 17 || GC : 552 || CM : 41 is a Match
Chr : 16 || GC : 553 || CM : 115 is a Match
Chr : 4 || GC : 553 || CM : 11 is a Match
Chr : 4 || GC : 554 || CM : 194 is a Match
Chr : 4 || GC : 554 || CM : 198 is a Match
Chr : 15 || GC : 556 || CM : 106 is a Match
Chr : 17 || GC : 556 || CM : 22 is a Match
Chr : 14 || GC : 557 || CM : 31 is a Match
Chr : 15 || GC : 557 || CM : 118 is a Match
Chr : 19 || GC : 557 || CM : 100 is a Match
Chr : 22 || GC : 557 || CM : 7 is a Match
Chr : 7 || GC : 557 || CM : 174 is a Match
Chr : 11 || GC : 558 || CM : 1 is a Match
Chr : 14 || GC : 559 || CM : 5 is a Match
Chr : 18 || GC : 561 || CM : 15 is a Match
Chr : 4 || GC : 561 || CM : 202 is a Match
Chr : 12 || GC : 562 || CM : 159 is a Match
Chr : 12 || GC : 565 || CM : 163 is a Match
Chr : 4 || GC : 565 || CM : 193 is a Match
Chr : 7 || GC : 566 || CM : 168 is a Match
Chr : 12 || GC : 567 || CM : 158 is a Match
Chr : 12 || GC : 567 || CM : 164 is a Match
Chr : 18 || GC : 567 || CM : 119 is a Match
Chr : 7 || GC : 567 || CM : 176 is a Match
Chr : 10 || GC : 572 || CM : 6 is a Match
Chr : 16 || GC : 575 || CM : 114 is a Match
Chr : 20 || GC : 575 || CM : 108 is a Match
Chr : 1 || GC : 577 || CM : 261 is a Match
Chr : 14 || GC : 578 || CM : 112 is a Match
Chr : 18 || GC : 578 || CM : 17 is a Match
Chr : 12 || GC : 580 || CM : 162 is a Match
Chr : 18 || GC : 580 || CM : 16 is a Match
Chr : 21 || GC : 580 || CM : 55 is a Match
Chr : 15 || GC : 581 || CM : 109 is a Match
Chr : 18 || GC : 581 || CM : 18 is a Match
Chr : 4 || GC : 581 || CM : 195 is a Match
Chr : 19 || GC : 582 || CM : 91 is a Match
Chr : 4 || GC : 582 || CM : 196 is a Match
Chr : 12 || GC : 584 || CM : 157 is a Match
Chr : 2 || GC : 584 || CM : 254 is a Match
Chr : 18 || GC : 585 || CM : 14 is a Match
Chr : 16 || GC : 586 || CM : 116 is a Match
Chr : 15 || GC : 587 || CM : 104 is a Match
Chr : 19 || GC : 587 || CM : 89 is a Match
Chr : 7 || GC : 587 || CM : 171 is a Match
Chr : 9 || GC : 587 || CM : 151 is a Match
Chr : 14 || GC : 588 || CM : 86 is a Match
Chr : 19 || GC : 588 || CM : 75 is a Match
Chr : 4 || GC : 588 || CM : 10 is a Match
Chr : 5 || GC : 588 || CM : 0 is a Match
Chr : 15 || GC : 589 || CM : 103 is a Match
Chr : 15 || GC : 589 || CM : 107 is a Match
Chr : 16 || GC : 590 || CM : 37 is a Match
Chr : 18 || GC : 590 || CM : 9 is a Match
Chr : 2 || GC : 590 || CM : 255 is a Match
Chr : 15 || GC : 591 || CM : 25 is a Match
Chr : 12 || GC : 592 || CM : 156 is a Match
Chr : 15 || GC : 592 || CM : 101 is a Match
Chr : 15 || GC : 592 || CM : 108 is a Match
Chr : 16 || GC : 593 || CM : 126 is a Match
Chr : 4 || GC : 593 || CM : 197 is a Match
Chr : 5 || GC : 593 || CM : 190 is a Match
Chr : 10 || GC : 594 || CM : 8 is a Match
Chr : 19 || GC : 594 || CM : 101 is a Match
Chr : 4 || GC : 595 || CM : 192 is a Match
Chr : 17 || GC : 596 || CM : 38 is a Match
Chr : 19 || GC : 596 || CM : 73 is a Match
Chr : 7 || GC : 596 || CM : 170 is a Match
Chr : 10 || GC : 598 || CM : 163 is a Match
Chr : 12 || GC : 598 || CM : 160 is a Match
Chr : 7 || GC : 599 || CM : 172 is a Match
Chr : 10 || GC : 600 || CM : 5 is a Match
Chr : 11 || GC : 600 || CM : 0 is a Match
Chr : 12 || GC : 600 || CM : 161 is a Match
Chr : 13 || GC : 600 || CM : 125 is a Match
Chr : 7 || GC : 600 || CM : 177 is a Match
Chr : 21 || GC : 601 || CM : 2 is a Match
Chr : 3 || GC : 602 || CM : 188 is a Match
Chr : 4 || GC : 602 || CM : 13 is a Match
Chr : 7 || GC : 603 || CM : 173 is a Match
Chr : 7 || GC : 603 || CM : 178 is a Match
Chr : 10 || GC : 605 || CM : 159 is a Match
Chr : 12 || GC : 605 || CM : 19 is a Match
Chr : 20 || GC : 605 || CM : 0 is a Match
Chr : 2 || GC : 605 || CM : 13 is a Match
Chr : 17 || GC : 606 || CM : 117 is a Match
Chr : 14 || GC : 607 || CM : 110 is a Match
Chr : 17 || GC : 607 || CM : 4 is a Match
Chr : 11 || GC : 610 || CM : 2 is a Match
Chr : 14 || GC : 610 || CM : 111 is a Match
Chr : 1 || GC : 610 || CM : 5 is a Match
Chr : 5 || GC : 610 || CM : 1 is a Match
Chr : 17 || GC : 611 || CM : 3 is a Match
Chr : 21 || GC : 612 || CM : 58 is a Match
Chr : 5 || GC : 613 || CM : 193 is a Match
Chr : 20 || GC : 614 || CM : 98 is a Match
Chr : 5 || GC : 614 || CM : 191 is a Match
Chr : 19 || GC : 615 || CM : 13 is a Match
Chr : 3 || GC : 615 || CM : 212 is a Match
Chr : 7 || GC : 616 || CM : 165 is a Match
Chr : 12 || GC : 617 || CM : 18 is a Match
Chr : 17 || GC : 617 || CM : 42 is a Match
Chr : 18 || GC : 618 || CM : 28 is a Match
Chr : 19 || GC : 618 || CM : 90 is a Match
Chr : 20 || GC : 618 || CM : 12 is a Match
Chr : 4 || GC : 618 || CM : 14 is a Match
Chr : 14 || GC : 620 || CM : 108 is a Match
Chr : 16 || GC : 620 || CM : 100 is a Match
Chr : 22 || GC : 620 || CM : 47 is a Match
Chr : 4 || GC : 620 || CM : 17 is a Match
Chr : 14 || GC : 621 || CM : 28 is a Match
Chr : 18 || GC : 621 || CM : 13 is a Match
Chr : 15 || GC : 622 || CM : 110 is a Match
Chr : 1 || GC : 622 || CM : 6 is a Match
Chr : 18 || GC : 623 || CM : 11 is a Match
Chr : 2 || GC : 623 || CM : 18 is a Match
Chr : 5 || GC : 627 || CM : 192 is a Match
Chr : 15 || GC : 628 || CM : 100 is a Match
Chr : 7 || GC : 628 || CM : 164 is a Match
Chr : 18 || GC : 632 || CM : 110 is a Match
Chr : 12 || GC : 633 || CM : 27 is a Match
Chr : 5 || GC : 633 || CM : 194 is a Match
Chr : 18 || GC : 634 || CM : 12 is a Match
Chr : 21 || GC : 634 || CM : 10 is a Match
Chr : 3 || GC : 634 || CM : 194 is a Match
Chr : 5 || GC : 635 || CM : 11 is a Match
Chr : 17 || GC : 637 || CM : 109 is a Match
Chr : 3 || GC : 637 || CM : 216 is a Match
Chr : 9 || GC : 638 || CM : 150 is a Match
Chr : 14 || GC : 639 || CM : 107 is a Match
Chr : 17 || GC : 639 || CM : 55 is a Match
Chr : 18 || GC : 639 || CM : 111 is a Match
Chr : 22 || GC : 640 || CM : 17 is a Match
Chr : 3 || GC : 640 || CM : 198 is a Match
Chr : 2 || GC : 642 || CM : 256 is a Match
Chr : 12 || GC : 643 || CM : 8 is a Match
Chr : 15 || GC : 643 || CM : 99 is a Match
Chr : 19 || GC : 643 || CM : 14 is a Match
Chr : 19 || GC : 643 || CM : 23 is a Match
Chr : 19 || GC : 643 || CM : 26 is a Match
Chr : 18 || GC : 645 || CM : 4 is a Match
Chr : 22 || GC : 645 || CM : 15 is a Match
Chr : 2 || GC : 645 || CM : 246 is a Match
Chr : 15 || GC : 648 || CM : 112 is a Match
Chr : 19 || GC : 648 || CM : 18 is a Match
Chr : 18 || GC : 649 || CM : 118 is a Match
Chr : 5 || GC : 649 || CM : 189 is a Match
Chr : 5 || GC : 650 || CM : 188 is a Match
Chr : 13 || GC : 651 || CM : 123 is a Match
Chr : 13 || GC : 651 || CM : 124 is a Match
Chr : 15 || GC : 651 || CM : 111 is a Match
Chr : 19 || GC : 651 || CM : 15 is a Match
Chr : 9 || GC : 651 || CM : 149 is a Match
Chr : 20 || GC : 652 || CM : 16 is a Match
Chr : 21 || GC : 652 || CM : 64 is a Match
Chr : 1 || GC : 653 || CM : 25 is a Match
Chr : 12 || GC : 654 || CM : 155 is a Match
Chr : 15 || GC : 654 || CM : 116 is a Match
Chr : 2 || GC : 654 || CM : 19 is a Match
Chr : 2 || GC : 656 || CM : 253 is a Match
Chr : 19 || GC : 657 || CM : 22 is a Match
Chr : 14 || GC : 658 || CM : 87 is a Match
Chr : 4 || GC : 658 || CM : 191 is a Match
Chr : 1 || GC : 659 || CM : 251 is a Match
Chr : 20 || GC : 659 || CM : 97 is a Match
Chr : 12 || GC : 660 || CM : 28 is a Match
Chr : 1 || GC : 661 || CM : 24 is a Match
Chr : 3 || GC : 661 || CM : 175 is a Match
Chr : 15 || GC : 662 || CM : 82 is a Match
Chr : 4 || GC : 662 || CM : 41 is a Match
Chr : 16 || GC : 663 || CM : 0 is a Match
Chr : 20 || GC : 663 || CM : 109 is a Match
Chr : 4 || GC : 663 || CM : 40 is a Match
Chr : 5 || GC : 663 || CM : 12 is a Match
Chr : 17 || GC : 665 || CM : 28 is a Match
Chr : 3 || GC : 665 || CM : 174 is a Match
Chr : 13 || GC : 667 || CM : 117 is a Match
Chr : 21 || GC : 667 || CM : 9 is a Match
Chr : 18 || GC : 668 || CM : 109 is a Match
Chr : 14 || GC : 669 || CM : 109 is a Match
Chr : 18 || GC : 670 || CM : 10 is a Match
Chr : 20 || GC : 670 || CM : 92 is a Match
Chr : 4 || GC : 670 || CM : 203 is a Match
Chr : 1 || GC : 671 || CM : 26 is a Match
Chr : 19 || GC : 673 || CM : 16 is a Match
Chr : 22 || GC : 674 || CM : 43 is a Match
Chr : 17 || GC : 675 || CM : 30 is a Match
Chr : 18 || GC : 675 || CM : 3 is a Match
Chr : 1 || GC : 675 || CM : 260 is a Match
Chr : 22 || GC : 675 || CM : 65 is a Match
Chr : 22 || GC : 676 || CM : 58 is a Match
Chr : 15 || GC : 677 || CM : 98 is a Match
Chr : 5 || GC : 677 || CM : 185 is a Match
Chr : 5 || GC : 677 || CM : 196 is a Match
Chr : 15 || GC : 681 || CM : 22 is a Match
Chr : 15 || GC : 681 || CM : 81 is a Match
Chr : 17 || GC : 681 || CM : 43 is a Match
Chr : 18 || GC : 681 || CM : 2 is a Match
Chr : 19 || GC : 682 || CM : 79 is a Match
Chr : 15 || GC : 683 || CM : 123 is a Match
Chr : 18 || GC : 683 || CM : 29 is a Match
Chr : 19 || GC : 684 || CM : 21 is a Match
Chr : 19 || GC : 684 || CM : 40 is a Match
Chr : 21 || GC : 685 || CM : 11 is a Match
Chr : 21 || GC : 685 || CM : 3 is a Match
Chr : 5 || GC : 685 || CM : 10 is a Match
Chr : 17 || GC : 686 || CM : 5 is a Match
Chr : 19 || GC : 686 || CM : 39 is a Match
Chr : 20 || GC : 686 || CM : 1 is a Match
Chr : 4 || GC : 688 || CM : 15 is a Match
Chr : 15 || GC : 689 || CM : 119 is a Match
Chr : 19 || GC : 689 || CM : 102 is a Match
Chr : 15 || GC : 690 || CM : 117 is a Match
Chr : 3 || GC : 690 || CM : 211 is a Match
Chr : 12 || GC : 691 || CM : 6 is a Match
Chr : 14 || GC : 691 || CM : 115 is a Match
Chr : 12 || GC : 692 || CM : 7 is a Match
Chr : 1 || GC : 693 || CM : 252 is a Match
Chr : 5 || GC : 693 || CM : 13 is a Match
Chr : 5 || GC : 693 || CM : 2 is a Match
Chr : 16 || GC : 694 || CM : 128 is a Match
Chr : 16 || GC : 694 || CM : 39 is a Match
Chr : 17 || GC : 694 || CM : 116 is a Match
Chr : 5 || GC : 694 || CM : 186 is a Match
Chr : 18 || GC : 697 || CM : 108 is a Match
Chr : 6 || GC : 698 || CM : 3 is a Match
Chr : 12 || GC : 699 || CM : 26 is a Nopes
Chr : 12 || GC : 700 || CM : 20 is a Match
Chr : 7 || GC : 700 || CM : 179 is a Match
Chr : 16 || GC : 701 || CM : 38 is a Match
Chr : 22 || GC : 701 || CM : 16 is a Match
Chr : 13 || GC : 702 || CM : 103 is a Match
Chr : 19 || GC : 702 || CM : 17 is a Match
Chr : 4 || GC : 702 || CM : 42 is a Match
Chr : 1 || GC : 703 || CM : 250 is a Match
Chr : 20 || GC : 703 || CM : 93 is a Match
Chr : 17 || GC : 705 || CM : 37 is a Match
Chr : 17 || GC : 706 || CM : 29 is a Match
Chr : 7 || GC : 707 || CM : 134 is a Match
Chr : 4 || GC : 709 || CM : 190 is a Match
Chr : 17 || GC : 710 || CM : 59 is a Match
Chr : 15 || GC : 711 || CM : 26 is a Match
Chr : 4 || GC : 711 || CM : 206 is a Match
Chr : 12 || GC : 712 || CM : 17 is a Match
Chr : 2 || GC : 712 || CM : 33 is a Match
Chr : 16 || GC : 713 || CM : 12 is a Match
Chr : 4 || GC : 713 || CM : 16 is a Match
Chr : 6 || GC : 713 || CM : 2 is a Match
Chr : 15 || GC : 714 || CM : 115 is a Match
Chr : 19 || GC : 714 || CM : 20 is a Match
Chr : 1 || GC : 714 || CM : 27 is a Match
Chr : 12 || GC : 715 || CM : 154 is a Match
Chr : 19 || GC : 716 || CM : 53 is a Match
Chr : 18 || GC : 717 || CM : 33 is a Match
Chr : 15 || GC : 718 || CM : 71 is a Match
Chr : 1 || GC : 718 || CM : 28 is a Match
Chr : 12 || GC : 719 || CM : 1 is a Match
Chr : 8 || GC : 720 || CM : 126 is a Match
Chr : 15 || GC : 721 || CM : 113 is a Match
Chr : 12 || GC : 722 || CM : 9 is a Match
Chr : 20 || GC : 722 || CM : 95 is a Match
Chr : 2 || GC : 722 || CM : 247 is a Match
Chr : 2 || GC : 722 || CM : 257 is a Match
Chr : 4 || GC : 722 || CM : 205 is a Match
Chr : 15 || GC : 723 || CM : 16 is a Match
Chr : 7 || GC : 723 || CM : 143 is a Match
Chr : 13 || GC : 724 || CM : 24 is a Match
Chr : 19 || GC : 725 || CM : 19 is a Match
Chr : 19 || GC : 726 || CM : 78 is a Match
Chr : 17 || GC : 727 || CM : 85 is a Match
Chr : 19 || GC : 727 || CM : 57 is a Match
Chr : 1 || GC : 727 || CM : 31 is a Match
Chr : 20 || GC : 727 || CM : 91 is a Match
Chr : 11 || GC : 728 || CM : 3 is a Match
Chr : 3 || GC : 728 || CM : 189 is a Match
Chr : 5 || GC : 728 || CM : 195 is a Match
Chr : 12 || GC : 729 || CM : 2 is a Match
Chr : 20 || GC : 729 || CM : 17 is a Match
Chr : 20 || GC : 729 || CM : 69 is a Match
Chr : 4 || GC : 729 || CM : 9 is a Match
Chr : 14 || GC : 730 || CM : 106 is a Match
Chr : 16 || GC : 730 || CM : 117 is a Match
Chr : 11 || GC : 731 || CM : 149 is a Match
Chr : 12 || GC : 731 || CM : 136 is a Match
Chr : 13 || GC : 731 || CM : 15 is a Match
Chr : 18 || GC : 731 || CM : 84 is a Match
Chr : 3 || GC : 731 || CM : 9 is a Match
Chr : 2 || GC : 732 || CM : 20 is a Match
Chr : 6 || GC : 732 || CM : 186 is a Match
Chr : 10 || GC : 734 || CM : 164 is a Match
Chr : 18 || GC : 734 || CM : 32 is a Match
Chr : 2 || GC : 734 || CM : 6 is a Match
Chr : 4 || GC : 734 || CM : 207 is a Match
Chr : 5 || GC : 734 || CM : 199 is a Match
Chr : 13 || GC : 735 || CM : 17 is a Match
Chr : 5 || GC : 735 || CM : 187 is a Match
Chr : 18 || GC : 736 || CM : 112 is a Match
Chr : 18 || GC : 737 || CM : 34 is a Match
Chr : 8 || GC : 738 || CM : 155 is a Match
Chr : 1 || GC : 739 || CM : 32 is a Match
Chr : 21 || GC : 739 || CM : 39 is a Match
Chr : 6 || GC : 739 || CM : 6 is a Match
Chr : 7 || GC : 739 || CM : 180 is a Match
Chr : 10 || GC : 741 || CM : 158 is a Match
Chr : 20 || GC : 741 || CM : 96 is a Match
Chr : 2 || GC : 741 || CM : 245 is a Match
Chr : 3 || GC : 741 || CM : 8 is a Match
Chr : 4 || GC : 741 || CM : 204 is a Match
Chr : 5 || GC : 741 || CM : 3 is a Match
Chr : 10 || GC : 743 || CM : 9 is a Match
Chr : 2 || GC : 743 || CM : 5 is a Match
Chr : 21 || GC : 744 || CM : 40 is a Match
Chr : 4 || GC : 744 || CM : 4 is a Match
Chr : 6 || GC : 744 || CM : 5 is a Match
Chr : 13 || GC : 745 || CM : 104 is a Match
Chr : 11 || GC : 746 || CM : 150 is a Match
Chr : 14 || GC : 746 || CM : 27 is a Match
Chr : 22 || GC : 746 || CM : 18 is a Match
Chr : 8 || GC : 746 || CM : 22 is a Match
Chr : 9 || GC : 746 || CM : 141 is a Match
Chr : 3 || GC : 748 || CM : 217 is a Match
Chr : 7 || GC : 748 || CM : 133 is a Match
Chr : 12 || GC : 749 || CM : 137 is a Match
Chr : 20 || GC : 749 || CM : 94 is a Match
Chr : 21 || GC : 749 || CM : 8 is a Match
Chr : 21 || GC : 750 || CM : 54 is a Match
Chr : 16 || GC : 751 || CM : 11 is a Match
Chr : 18 || GC : 752 || CM : 36 is a Match
Chr : 18 || GC : 752 || CM : 37 is a Match
Chr : 19 || GC : 753 || CM : 103 is a Match
Chr : 8 || GC : 753 || CM : 127 is a Match
Chr : 16 || GC : 754 || CM : 113 is a Match
Chr : 16 || GC : 755 || CM : 127 is a Match
Chr : 2 || GC : 755 || CM : 23 is a Match
Chr : 12 || GC : 756 || CM : 146 is a Match
Chr : 15 || GC : 757 || CM : 72 is a Match
Chr : 17 || GC : 757 || CM : 6 is a Match
Chr : 20 || GC : 757 || CM : 11 is a Match
Chr : 22 || GC : 757 || CM : 10 is a Match
Chr : 5 || GC : 757 || CM : 184 is a Match
Chr : 15 || GC : 758 || CM : 114 is a Match
Chr : 3 || GC : 758 || CM : 6 is a Match
Chr : 7 || GC : 758 || CM : 6 is a Match
Chr : 11 || GC : 759 || CM : 148 is a Match
Chr : 12 || GC : 759 || CM : 153 is a Match
Chr : 13 || GC : 759 || CM : 16 is a Match
Chr : 1 || GC : 761 || CM : 23 is a Match
Chr : 3 || GC : 761 || CM : 218 is a Match
Chr : 21 || GC : 762 || CM : 4 is a Match
Chr : 22 || GC : 762 || CM : 48 is a Match
Chr : 3 || GC : 762 || CM : 5 is a Match
Chr : 8 || GC : 762 || CM : 156 is a Match
Chr : 16 || GC : 763 || CM : 122 is a Match
Chr : 14 || GC : 764 || CM : 11 is a Match
Chr : 16 || GC : 764 || CM : 40 is a Match
Chr : 17 || GC : 764 || CM : 7 is a Match
Chr : 18 || GC : 764 || CM : 1 is a Match
Chr : 18 || GC : 764 || CM : 30 is a Match
Chr : 6 || GC : 764 || CM : 185 is a Match
Chr : 12 || GC : 765 || CM : 5 is a Match
Chr : 6 || GC : 765 || CM : 4 is a Match
Chr : 12 || GC : 766 || CM : 4 is a Match
Chr : 6 || GC : 767 || CM : 21 is a Match
Chr : 19 || GC : 768 || CM : 0 is a Match
Chr : 9 || GC : 768 || CM : 140 is a Match
Chr : 9 || GC : 768 || CM : 142 is a Match
Chr : 13 || GC : 769 || CM : 105 is a Match
Chr : 19 || GC : 769 || CM : 56 is a Match
Chr : 20 || GC : 769 || CM : 2 is a Match
Chr : 7 || GC : 769 || CM : 181 is a Match
Chr : 11 || GC : 770 || CM : 147 is a Match
Chr : 18 || GC : 770 || CM : 35 is a Match
Chr : 3 || GC : 770 || CM : 187 is a Match
Chr : 4 || GC : 770 || CM : 208 is a Match
Chr : 5 || GC : 770 || CM : 182 is a Match
Chr : 21 || GC : 771 || CM : 26 is a Match
Chr : 17 || GC : 772 || CM : 60 is a Match
Chr : 8 || GC : 773 || CM : 154 is a Match
Chr : 15 || GC : 774 || CM : 122 is a Match
Chr : 1 || GC : 774 || CM : 259 is a Match
Chr : 11 || GC : 775 || CM : 34 is a Match
Chr : 17 || GC : 775 || CM : 115 is a Match
Chr : 19 || GC : 775 || CM : 76 is a Match
Chr : 18 || GC : 776 || CM : 92 is a Match
Chr : 1 || GC : 776 || CM : 249 is a Match
Chr : 5 || GC : 776 || CM : 14 is a Match
Chr : 14 || GC : 777 || CM : 119 is a Match
Chr : 17 || GC : 778 || CM : 16 is a Match
Chr : 7 || GC : 778 || CM : 132 is a Match
Chr : 17 || GC : 779 || CM : 8 is a Match
Chr : 18 || GC : 779 || CM : 0 is a Match
Chr : 2 || GC : 781 || CM : 216 is a Match
Chr : 18 || GC : 782 || CM : 117 is a Match
Chr : 19 || GC : 782 || CM : 72 is a Match
Chr : 6 || GC : 782 || CM : 184 is a Match
Chr : 1 || GC : 783 || CM : 38 is a Match
Chr : 4 || GC : 783 || CM : 209 is a Match
Chr : 11 || GC : 784 || CM : 33 is a Match
Chr : 14 || GC : 784 || CM : 118 is a Match
Chr : 18 || GC : 784 || CM : 31 is a Match
Chr : 22 || GC : 784 || CM : 25 is a Match
Chr : 20 || GC : 785 || CM : 18 is a Match
