Chr : 3 || GC : 1000 || CM : 182 is a MatchChr : 22 || GC : 100 || CM : 69 is a MatchChr : 5 || GC : 1025 || CM : 101 is a MatchChr : 19 || GC : 130 || CM : 97 is a MatchChr : 12 || GC : 2054 || CM : 58 is a MatchChr : 13 || GC : 257 || CM : 118 is a MatchChr : 3 || GC : 1000 || CM : 182 is a Match
Chr : 6 || GC : 1000 || CM : 58 is a Match
Chr : 13 || GC : 522 || CM : 4 is a Match
Chr : 1 || GC : 522 || CM : 253 is a Match
Chr : 3 || GC : 522 || CM : 4 is a Match
Chr : 4 || GC : 522 || CM : 188 is a Match
Chr : 6 || GC : 522 || CM : 0 is a Match
Chr : 6 || GC : 522 || CM : 22 is a Match
Chr : 10 || GC : 523 || CM : 151 is a Match
Chr : 14 || GC : 523 || CM : 97 is a Match
Chr : 20 || GC : 523 || CM : 82 is a Match
Chr : 3 || GC : 523 || CM : 122 is a Match
Chr : 13 || GC : 524 || CM : 11 is a Match
Chr : 5 || GC : 524 || CM : 35 is a Match
Chr : 6 || GC : 524 || CM : 8 is a Match
Chr : 9 || GC : 524 || CM : 89 is a Match
Chr : 10 || GC : 525 || CM : 169 is a Match
Chr : 15 || GC : 525 || CM : 97 is a Nopes
Chr : 18 || GC : 525 || CM : 115 is a Match
Chr : 3 || GC : 525 || CM : 176 is a Match
Chr : 4 || GC : 525 || CM : 0 is a Match
Chr : 4 || GC : 525 || CM : 189 is a Nopes
Chr : 4 || GC : 526 || CM : 58 is a Match
Chr : 14 || GC : 527 || CM : 100 is a Match
Chr : 16 || GC : 527 || CM : 69 is a Match
Chr : 19 || GC : 527 || CM : 31 is a Match
Chr : 6 || GC : 527 || CM : 19 is a Match
Chr : 8 || GC : 527 || CM : 38 is a Match
Chr : 9 || GC : 527 || CM : 87 is a Match
Chr : 10 || GC : 528 || CM : 168 is a Match
Chr : 13 || GC : 528 || CM : 6 is a Match
Chr : 2 || GC : 528 || CM : 224 is a Match
Chr : 3 || GC : 528 || CM : 204 is a Match
Chr : 8 || GC : 528 || CM : 134 is a Match
Chr : 14 || GC : 529 || CM : 88 is a Match
Chr : 16 || GC : 530 || CM : 121 is a Nopes
Chr : 16 || GC : 530 || CM : 96 is a Match
Chr : 3 || GC : 530 || CM : 199 is a Match
Chr : 16 || GC : 531 || CM : 29 is a Match
Chr : 1 || GC : 531 || CM : 56 is a Match
Chr : 20 || GC : 531 || CM : 83 is a Match
Chr : 21 || GC : 531 || CM : 6 is a Match
Chr : 22 || GC : 531 || CM : 12 is a Nopes
Chr : 5 || GC : 531 || CM : 15 is a Match
Chr : 9 || GC : 531 || CM : 90 is a Match
Chr : 10 || GC : 532 || CM : 28 is a Match
Chr : 1 || GC : 532 || CM : 245 is a Match
Chr : 3 || GC : 532 || CM : 192 is a Match
Chr : 10 || GC : 533 || CM : 136 is a Match
Chr : 15 || GC : 533 || CM : 90 is a Match
Chr : 17 || GC : 533 || CM : 9 is a Match
Chr : 3 || GC : 533 || CM : 14 is a Match
Chr : 8 || GC : 533 || CM : 108 is a Match
Chr : 11 || GC : 534 || CM : 131 is a Match
Chr : 13 || GC : 534 || CM : 101 is a Match
Chr : 14 || GC : 534 || CM : 23 is a Match
Chr : 16 || GC : 534 || CM : 50 is a Match
Chr : 2 || GC : 534 || CM : 239 is a Match
Chr : 3 || GC : 534 || CM : 22 is a Match
Chr : 7 || GC : 534 || CM : 4 is a Match
Chr : 13 || GC : 535 || CM : 5 is a Match
Chr : 17 || GC : 535 || CM : 35 is a Match
Chr : 1 || GC : 535 || CM : 12 is a Match
Chr : 2 || GC : 535 || CM : 213 is a Match
Chr : 9 || GC : 535 || CM : 139 is a Match
Chr : 11 || GC : 536 || CM : 153 is a Match
Chr : 17 || GC : 536 || CM : 20 is a Match
Chr : 17 || GC : 536 || CM : 32 is a Match
Chr : 20 || GC : 536 || CM : 3 is a Match
Chr : 21 || GC : 537 || CM : 63 is a Match
Chr : 4 || GC : 537 || CM : 59 is a Match
Chr : 11 || GC : 538 || CM : 78 is a Match
Chr : 15 || GC : 538 || CM : 34 is a Match
Chr : 20 || GC : 538 || CM : 25 is a Match
Chr : 20 || GC : 538 || CM : 88 is a Nopes
Chr : 3 || GC : 538 || CM : 156 is a Match
Chr : 13 || GC : 539 || CM : 10 is a Match
Chr : 16 || GC : 539 || CM : 35 is a Match
Chr : 21 || GC : 539 || CM : 13 is a Match
Chr : 13 || GC : 540 || CM : 22 is a Match
Chr : 16 || GC : 540 || CM : 77 is a Match
Chr : 3 || GC : 540 || CM : 205 is a Match
Chr : 8 || GC : 540 || CM : 133 is a Match
Chr : 16 || GC : 541 || CM : 20 is a Match
Chr : 1 || GC : 541 || CM : 246 is a Match
Chr : 4 || GC : 541 || CM : 6 is a Match
Chr : 8 || GC : 541 || CM : 159 is a Nopes
Chr : 11 || GC : 542 || CM : 144 is a Match
Chr : 17 || GC : 542 || CM : 87 is a Match
Chr : 8 || GC : 542 || CM : 128 is a Match
Chr : 16 || GC : 543 || CM : 60 is a Match
Chr : 1 || GC : 543 || CM : 9 is a Match
Chr : 6 || GC : 543 || CM : 188 is a Match
Chr : 11 || GC : 544 || CM : 130 is a Match
Chr : 1 || GC : 544 || CM : 160 is a Match
Chr : 20 || GC : 544 || CM : 22 is a Match
Chr : 4 || GC : 544 || CM : 184 is a Match
Chr : 6 || GC : 544 || CM : 62 is a Match
Chr : 10 || GC : 545 || CM : 152 is a Match
Chr : 15 || GC : 545 || CM : 32 is a Match
Chr : 17 || GC : 545 || CM : 103 is a Match
Chr : 21 || GC : 545 || CM : 38 is a Match
Chr : 13 || GC : 546 || CM : 112 is a Match
Chr : 14 || GC : 546 || CM : 22 is a Match
Chr : 3 || GC : 546 || CM : 209 is a Match
Chr : 5 || GC : 546 || CM : 173 is a Match
Chr : 13 || GC : 547 || CM : 7 is a Match
Chr : 14 || GC : 547 || CM : 96 is a Match
Chr : 3 || GC : 547 || CM : 207 is a Match
Chr : 4 || GC : 547 || CM : 57 is a Match
Chr : 5 || GC : 547 || CM : 174 is a Match
Chr : 6 || GC : 547 || CM : 139 is a Nopes
Chr : 18 || GC : 548 || CM : 106 is a Match
Chr : 21 || GC : 548 || CM : 41 is a Match
Chr : 7 || GC : 548 || CM : 145 is a Match
Chr : 8 || GC : 548 || CM : 129 is a Match
Chr : 16 || GC : 549 || CM : 75 is a Match
Chr : 1 || GC : 550 || CM : 268 is a Match
Chr : 2 || GC : 550 || CM : 222 is a Match
Chr : 3 || GC : 550 || CM : 191 is a Match
Chr : 4 || GC : 550 || CM : 7 is a Match
Chr : 6 || GC : 550 || CM : 63 is a Match
Chr : 7 || GC : 550 || CM : 131 is a Match
Chr : 13 || GC : 551 || CM : 18 is a Match
Chr : 16 || GC : 551 || CM : 9 is a Match
Chr : 1 || GC : 551 || CM : 13 is a Match
Chr : 2 || GC : 551 || CM : 8 is a Match
Chr : 16 || GC : 552 || CM : 120 is a Match
Chr : 8 || GC : 552 || CM : 107 is a Match
Chr : 16 || GC : 553 || CM : 101 is a Match
Chr : 16 || GC : 554 || CM : 13 is a Match
Chr : 16 || GC : 554 || CM : 6 is a Match
Chr : 4 || GC : 554 || CM : 187 is a Match
Chr : 15 || GC : 555 || CM : 33 is a Match
Chr : 5 || GC : 555 || CM : 23 is a Match
Chr : 6 || GC : 555 || CM : 12 is a Match
Chr : 8 || GC : 555 || CM : 125 is a Match
Chr : 8 || GC : 555 || CM : 40 is a Match
Chr : 13 || GC : 556 || CM : 114 is a Match
Chr : 1 || GC : 556 || CM : 55 is a Match
Chr : 3 || GC : 556 || CM : 97 is a Match
Chr : 5 || GC : 556 || CM : 16 is a Match
Chr : 5 || GC : 556 || CM : 26 is a Match
Chr : 16 || GC : 557 || CM : 112 is a Match
Chr : 1 || GC : 557 || CM : 205 is a Match
Chr : 20 || GC : 557 || CM : 87 is a Match
Chr : 5 || GC : 557 || CM : 17 is a Match
Chr : 5 || GC : 557 || CM : 203 is a Match
Chr : 8 || GC : 557 || CM : 49 is a Match
Chr : 4 || GC : 558 || CM : 29 is a Match
Chr : 13 || GC : 559 || CM : 26 is a Match
Chr : 2 || GC : 559 || CM : 223 is a Match
Chr : 3 || GC : 559 || CM : 203 is a Match
Chr : 3 || GC : 559 || CM : 99 is a Match
Chr : 14 || GC : 560 || CM : 89 is a Match
Chr : 15 || GC : 560 || CM : 66 is a Match
Chr : 16 || GC : 560 || CM : 70 is a Match
Chr : 2 || GC : 560 || CM : 11 is a Match
Chr : 8 || GC : 560 || CM : 158 is a Match
Chr : 16 || GC : 561 || CM : 74 is a Match
Chr : 13 || GC : 562 || CM : 3 is a Match
Chr : 14 || GC : 562 || CM : 15 is a Match
Chr : 15 || GC : 562 || CM : 67 is a Match
Chr : 4 || GC : 562 || CM : 186 is a Match
Chr : 9 || GC : 562 || CM : 138 is a Match
Chr : 10 || GC : 563 || CM : 12 is a Match
Chr : 21 || GC : 563 || CM : 16 is a Match
Chr : 3 || GC : 563 || CM : 16 is a Nopes
Chr : 3 || GC : 563 || CM : 206 is a Match
Chr : 5 || GC : 563 || CM : 51 is a Match
Chr : 8 || GC : 563 || CM : 153 is a Match
Chr : 19 || GC : 564 || CM : 45 is a Match
Chr : 3 || GC : 564 || CM : 98 is a Match
Chr : 4 || GC : 564 || CM : 94 is a Match
Chr : 14 || GC : 565 || CM : 0 is a Match
Chr : 10 || GC : 566 || CM : 166 is a Match
Chr : 14 || GC : 566 || CM : 16 is a Match
Chr : 14 || GC : 566 || CM : 32 is a Match
Chr : 16 || GC : 566 || CM : 118 is a Match
Chr : 16 || GC : 566 || CM : 28 is a Match
Chr : 16 || GC : 566 || CM : 52 is a Match
Chr : 17 || GC : 566 || CM : 45 is a Match
Chr : 15 || GC : 567 || CM : 121 is a Match
Chr : 16 || GC : 567 || CM : 49 is a Match
Chr : 2 || GC : 567 || CM : 94 is a Match
Chr : 4 || GC : 567 || CM : 153 is a Match
Chr : 3 || GC : 568 || CM : 172 is a Match
Chr : 4 || GC : 568 || CM : 56 is a Match
Chr : 8 || GC : 568 || CM : 85 is a Match
Chr : 1 || GC : 569 || CM : 15 is a Match
Chr : 5 || GC : 569 || CM : 28 is a Match
Chr : 6 || GC : 569 || CM : 144 is a Nopes
Chr : 17 || GC : 570 || CM : 74 is a Match
Chr : 20 || GC : 570 || CM : 10 is a Match
Chr : 20 || GC : 570 || CM : 30 is a Match
Chr : 3 || GC : 570 || CM : 138 is a Match
Chr : 5 || GC : 570 || CM : 36 is a Match
Chr : 5 || GC : 570 || CM : 50 is a Match
Chr : 12 || GC : 571 || CM : 134 is a Match
Chr : 14 || GC : 571 || CM : 12 is a Match
Chr : 19 || GC : 571 || CM : 67 is a Match
Chr : 20 || GC : 571 || CM : 86 is a Match
Chr : 15 || GC : 572 || CM : 53 is a Match
Chr : 22 || GC : 572 || CM : 42 is a Match
Chr : 2 || GC : 572 || CM : 252 is a Match
Chr : 6 || GC : 572 || CM : 23 is a Match
Chr : 11 || GC : 573 || CM : 129 is a Match
Chr : 19 || GC : 573 || CM : 36 is a Match
Chr : 19 || GC : 573 || CM : 63 is a Match
Chr : 1 || GC : 573 || CM : 11 is a Match
Chr : 20 || GC : 573 || CM : 4 is a Match
Chr : 21 || GC : 573 || CM : 60 is a Match
Chr : 4 || GC : 573 || CM : 60 is a Match
Chr : 6 || GC : 573 || CM : 11 is a Match
Chr : 7 || GC : 573 || CM : 157 is a Nopes
Chr : 9 || GC : 573 || CM : 4 is a Match
Chr : 9 || GC : 573 || CM : 86 is a Match
Chr : 16 || GC : 574 || CM : 51 is a Match
Chr : 16 || GC : 574 || CM : 7 is a Match
Chr : 17 || GC : 574 || CM : 110 is a Match
Chr : 19 || GC : 574 || CM : 69 is a Match
Chr : 22 || GC : 574 || CM : 64 is a Match
Chr : 8 || GC : 574 || CM : 15 is a Match
Chr : 13 || GC : 575 || CM : 2 is a Match
Chr : 10 || GC : 576 || CM : 167 is a Match
Chr : 13 || GC : 576 || CM : 113 is a Match
Chr : 6 || GC : 576 || CM : 18 is a Nopes
Chr : 6 || GC : 576 || CM : 182 is a Match
Chr : 7 || GC : 576 || CM : 9 is a Match
Chr : 9 || GC : 576 || CM : 91 is a Match
Chr : 11 || GC : 577 || CM : 35 is a Nopes
Chr : 1 || GC : 577 || CM : 10 is a Match
Chr : 1 || GC : 577 || CM : 267 is a Match
Chr : 22 || GC : 577 || CM : 24 is a Match
Chr : 22 || GC : 577 || CM : 59 is a Match
Chr : 5 || GC : 577 || CM : 34 is a Match
Chr : 13 || GC : 578 || CM : 21 is a Match
Chr : 14 || GC : 578 || CM : 13 is a Match
Chr : 2 || GC : 578 || CM : 225 is a Match
Chr : 4 || GC : 578 || CM : 28 is a Nopes
Chr : 5 || GC : 578 || CM : 172 is a Match
Chr : 8 || GC : 578 || CM : 109 is a Match
Chr : 5 || GC : 579 || CM : 146 is a Match
Chr : 10 || GC : 580 || CM : 157 is a Match
Chr : 12 || GC : 580 || CM : 132 is a Match
Chr : 14 || GC : 580 || CM : 14 is a Match
Chr : 16 || GC : 580 || CM : 48 is a Match
Chr : 20 || GC : 580 || CM : 85 is a Match
Chr : 2 || GC : 580 || CM : 3 is a Match
Chr : 5 || GC : 580 || CM : 175 is a Match
Chr : 7 || GC : 580 || CM : 146 is a Match
Chr : 7 || GC : 580 || CM : 81 is a Match
Chr : 9 || GC : 580 || CM : 5 is a Match
Chr : 10 || GC : 581 || CM : 134 is a Match
Chr : 3 || GC : 581 || CM : 1 is a Match
Chr : 4 || GC : 581 || CM : 93 is a Match
Chr : 11 || GC : 582 || CM : 151 is a Match
Chr : 12 || GC : 582 || CM : 133 is a Match
Chr : 20 || GC : 582 || CM : 84 is a Match
Chr : 3 || GC : 582 || CM : 200 is a Match
Chr : 6 || GC : 582 || CM : 138 is a Match
Chr : 20 || GC : 583 || CM : 5 is a Match
Chr : 2 || GC : 583 || CM : 92 is a Match
Chr : 5 || GC : 583 || CM : 32 is a Match
Chr : 18 || GC : 584 || CM : 85 is a Match
Chr : 1 || GC : 584 || CM : 68 is a Match
Chr : 20 || GC : 585 || CM : 62 is a Match
Chr : 5 || GC : 585 || CM : 53 is a Match
Chr : 6 || GC : 585 || CM : 31 is a Match
Chr : 9 || GC : 585 || CM : 72 is a Match
Chr : 11 || GC : 586 || CM : 7 is a Match
Chr : 12 || GC : 586 || CM : 91 is a Match
Chr : 11 || GC : 587 || CM : 152 is a Match
Chr : 12 || GC : 587 || CM : 14 is a Match
Chr : 16 || GC : 587 || CM : 19 is a Match
Chr : 16 || GC : 587 || CM : 23 is a Match
Chr : 16 || GC : 587 || CM : 71 is a Match
Chr : 4 || GC : 587 || CM : 185 is a Match
Chr : 16 || GC : 588 || CM : 31 is a Match
Chr : 1 || GC : 588 || CM : 254 is a Match
Chr : 8 || GC : 588 || CM : 130 is a Match
Chr : 4 || GC : 589 || CM : 30 is a Match
Chr : 5 || GC : 589 || CM : 96 is a Match
Chr : 7 || GC : 589 || CM : 135 is a Match
Chr : 19 || GC : 590 || CM : 66 is a Match
Chr : 1 || GC : 591 || CM : 207 is a Match
Chr : 16 || GC : 592 || CM : 25 is a Match
Chr : 21 || GC : 592 || CM : 61 is a Match
Chr : 5 || GC : 592 || CM : 84 is a Match
Chr : 9 || GC : 592 || CM : 137 is a Match
Chr : 3 || GC : 593 || CM : 208 is a Match
Chr : 10 || GC : 594 || CM : 27 is a Match
Chr : 14 || GC : 594 || CM : 25 is a Nopes
Chr : 22 || GC : 594 || CM : 13 is a Match
Chr : 2 || GC : 594 || CM : 248 is a Match
Chr : 2 || GC : 594 || CM : 31 is a Match
Chr : 3 || GC : 594 || CM : 94 is a Match
Chr : 10 || GC : 595 || CM : 137 is a Match
Chr : 16 || GC : 595 || CM : 119 is a Match
Chr : 20 || GC : 595 || CM : 23 is a Match
Chr : 20 || GC : 595 || CM : 45 is a Match
Chr : 3 || GC : 595 || CM : 2 is a Match
Chr : 8 || GC : 595 || CM : 51 is a Match
Chr : 10 || GC : 596 || CM : 29 is a Match
Chr : 12 || GC : 596 || CM : 11 is a Match
Chr : 16 || GC : 596 || CM : 21 is a Match
Chr : 6 || GC : 596 || CM : 36 is a Match
Chr : 8 || GC : 596 || CM : 132 is a Match
Chr : 9 || GC : 596 || CM : 71 is a Match
Chr : 12 || GC : 597 || CM : 121 is a Match
Chr : 21 || GC : 597 || CM : 15 is a Match
Chr : 2 || GC : 597 || CM : 129 is a Match
Chr : 2 || GC : 597 || CM : 238 is a Match
Chr : 3 || GC : 597 || CM : 202 is a Match
Chr : 10 || GC : 598 || CM : 53 is a Match
Chr : 14 || GC : 598 || CM : 90 is a Match
Chr : 16 || GC : 598 || CM : 22 is a Match
Chr : 1 || GC : 598 || CM : 206 is a Match
Chr : 21 || GC : 598 || CM : 53 is a Match
Chr : 4 || GC : 598 || CM : 44 is a Match
Chr : 16 || GC : 599 || CM : 63 is a Match
Chr : 5 || GC : 599 || CM : 95 is a Match
Chr : 11 || GC : 600 || CM : 141 is a Match
Chr : 15 || GC : 600 || CM : 120 is a Match
Chr : 1 || GC : 600 || CM : 18 is a Match
Chr : 5 || GC : 600 || CM : 181 is a Match
Chr : 9 || GC : 600 || CM : 6 is a Match
Chr : 11 || GC : 601 || CM : 140 is a Match
Chr : 14 || GC : 601 || CM : 17 is a Match
Chr : 16 || GC : 601 || CM : 78 is a Match
Chr : 19 || GC : 601 || CM : 30 is a Nopes
Chr : 2 || GC : 601 || CM : 249 is a Match
Chr : 12 || GC : 602 || CM : 135 is a Match
Chr : 15 || GC : 602 || CM : 69 is a Match
Chr : 16 || GC : 602 || CM : 27 is a Match
Chr : 16 || GC : 602 || CM : 8 is a Match
Chr : 1 || GC : 602 || CM : 14 is a Match
Chr : 9 || GC : 602 || CM : 2 is a Match
Chr : 12 || GC : 603 || CM : 92 is a Match
Chr : 1 || GC : 603 || CM : 41 is a Match
Chr : 21 || GC : 603 || CM : 14 is a Match
Chr : 7 || GC : 603 || CM : 13 is a Match
Chr : 9 || GC : 603 || CM : 146 is a Match
Chr : 9 || GC : 603 || CM : 63 is a Match
Chr : 7 || GC : 604 || CM : 44 is a Match
Chr : 10 || GC : 605 || CM : 30 is a Match
Chr : 19 || GC : 605 || CM : 106 is a Match
Chr : 19 || GC : 605 || CM : 65 is a Match
Chr : 2 || GC : 605 || CM : 9 is a Match
Chr : 3 || GC : 605 || CM : 171 is a Match
Chr : 5 || GC : 605 || CM : 27 is a Match
Chr : 16 || GC : 606 || CM : 32 is a Match
Chr : 1 || GC : 606 || CM : 86 is a Match
Chr : 3 || GC : 606 || CM : 201 is a Match
Chr : 3 || GC : 606 || CM : 21 is a Match
Chr : 5 || GC : 606 || CM : 52 is a Match
Chr : 17 || GC : 607 || CM : 64 is a Match
Chr : 7 || GC : 607 || CM : 10 is a Match
Chr : 8 || GC : 607 || CM : 23 is a Match
Chr : 10 || GC : 609 || CM : 138 is a Match
Chr : 12 || GC : 609 || CM : 130 is a Match
Chr : 21 || GC : 609 || CM : 49 is a Match
Chr : 4 || GC : 609 || CM : 183 is a Match
Chr : 20 || GC : 610 || CM : 24 is a Match
Chr : 11 || GC : 611 || CM : 142 is a Match
Chr : 16 || GC : 611 || CM : 30 is a Match
Chr : 3 || GC : 611 || CM : 23 is a Match
Chr : 5 || GC : 611 || CM : 31 is a Match
Chr : 20 || GC : 612 || CM : 6 is a Match
Chr : 5 || GC : 612 || CM : 176 is a Match
Chr : 6 || GC : 612 || CM : 24 is a Match
Chr : 7 || GC : 612 || CM : 43 is a Match
Chr : 9 || GC : 612 || CM : 143 is a Match
Chr : 16 || GC : 613 || CM : 24 is a Match
Chr : 5 || GC : 613 || CM : 22 is a Nopes
Chr : 3 || GC : 1000 || CM : 182 is a Match
Chr : 6 || GC : 1000 || CM : 58 is a Nopes
Chr : 16 || GC : 1001 || CM : 55 is a Match
